BCP         ;12015026265385          ;1150 ;16.01.23;          ;CW AFP FUTURO              ;Z002                       ;    ;    ;404030          ;          3454.44-;     ;0;16.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BCP         ;12015026265385          ;1150 ;16.01.23;          ;CW AFP PREVISIN           ;Z002                       ;    ;    ;404231          ;           110.75-;     ;0;16.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BCP         ;12015026265385          ;1150 ;16.01.23;          ;CW AFP PREVISIN           ;Z002                       ;    ;    ;404342          ;        621936.10-;     ;0;16.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BCP         ;12015026265385          ;1150 ;16.01.23;          ;CW AFP PREVISIN           ;Z002                       ;    ;    ;404485          ;         13865.80-;     ;0;16.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BCP         ;12015026265385          ;1150 ;16.01.23;          ;CW AFP PREVISIN           ;Z002                       ;    ;    ;404602          ;         22324.84-;     ;0;16.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BCP         ;12015026265385          ;1150 ;16.01.23;          ;CW AFP PREVISIN           ;Z002                       ;    ;    ;404739          ;         23843.37-;     ;0;16.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BCP         ;12015026265385          ;1150 ;16.01.23;          ;CW AFP PREVISIN           ;Z002                       ;    ;    ;404850          ;          3105.22-;     ;0;16.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BCP         ;12015026265385          ;1150 ;16.01.23;          ;CW AFP FUTURO              ;Z002                       ;    ;    ;404979          ;        323872.66-;     ;0;16.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BCP         ;12015026265385          ;1150 ;16.01.23;          ;CW AFP FUTURO              ;Z002                       ;    ;    ;405190          ;          1108.41-;     ;0;16.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BCP         ;12015026265385          ;1150 ;16.01.23;          ;CW AFP FUTURO              ;Z002                       ;    ;    ;405339          ;         12334.14-;     ;0;16.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BCP         ;12015026265385          ;1150 ;16.01.23;          ;CW AFP FUTURO              ;Z002                       ;    ;    ;405598          ;           636.01-;     ;0;16.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BCP         ;12015026265385          ;1150 ;16.01.23;          ;DE INDUSTRIAS VENADO       ;Z001                       ;    ;    ;417403          ;         50000.00 ;     ;0;16.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BCP         ;12015026265385          ;1150 ;16.01.23;          ;PagoACH-3006393            ;Z002                       ;    ;    ;3263            ;           696.00-;     ;0;16.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BCP         ;12015026265385          ;1150 ;16.01.23;          ;PagoACH-3006386            ;Z002                       ;    ;    ;3293            ;          4200.00-;     ;0;16.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BCP         ;12015026265385          ;1150 ;16.01.23;          ;PagoACH-3006391            ;Z002                       ;    ;    ;3862            ;           850.00-;     ;0;16.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
BCP         ;12015026265385          ;1150 ;16.01.23;          ;PagoACH-3006399            ;Z002                       ;    ;    ;3893            ;          2106.00-;     ;0;16.01.23;                              ;                              ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;                           ;            ;                        ;   ;      ;   ;                  ;
